wavelength,intensity,metadata
894.558,2.36084,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.515,2.37434,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.472,2.35705,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.428,2.37003,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.385,2.37039,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.342,2.36696,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.299,2.36959,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.256,2.37725,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.212,2.34637,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.169,2.37945,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.126,2.37023,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.083,2.37535,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
894.04,2.39883,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.996,2.37677,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.953,2.38389,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.91,2.3724,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.867,2.37624,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.824,2.34593,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.78,2.41581,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.737,2.40759,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.694,2.37702,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.651,2.35852,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.607,2.38667,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.564,2.39751,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.521,2.37475,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.478,2.38959,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.435,2.40266,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.391,2.39294,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.348,2.39748,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.305,2.4203,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.262,2.38805,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.218,2.39134,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.175,2.41588,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.132,2.40791,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.088,2.41193,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.045,2.40545,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
893.002,2.39148,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.959,2.4035,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.915,2.42972,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.872,2.38731,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.829,2.42425,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.786,2.40581,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.742,2.42426,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.699,2.40208,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.656,2.41979,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.612,2.40359,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.569,2.38043,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.526,2.41181,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.483,2.41057,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.439,2.42275,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.396,2.43269,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.353,2.41876,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.309,2.41576,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.266,2.41774,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.223,2.40928,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.179,2.40455,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.136,2.43706,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.093,2.41669,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.049,2.45165,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
892.006,2.41689,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.963,2.41241,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.919,2.4389,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.876,2.42053,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.833,2.40763,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.789,2.41948,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.746,2.4343,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.703,2.4313,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.659,2.40429,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.616,2.41514,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.573,2.4255,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.529,2.43187,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.486,2.42763,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.442,2.43524,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.399,2.4063,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.356,2.43564,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.312,2.44545,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.269,2.44983,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.226,2.4589,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.182,2.41865,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.139,2.42944,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.095,2.44219,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.052,2.45148,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
891.009,2.42237,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.965,2.44076,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.922,2.45004,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.878,2.44628,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.835,2.45234,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.792,2.40926,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.748,2.42737,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.705,2.4327,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.661,2.43877,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.618,2.44211,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.575,2.40548,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.531,2.45887,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.488,2.45755,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
890.444,2.44054,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
